,Date,M01,M03,M06,Y01,Y02,Y05,Y10,Y15,Y20,Y30,Alpha0,Alpha1,Alpha2,Thau
19230,2019-03-29,1.97,1.97,-256.0,2.02,1.904,1.943,2.0780000000000003,2.316,2.379,2.549,2.7433481216430664,2.018437623977661,-1.4614638090133667,40.28002166748047
19231,2019-03-29,1.97,1.97,-256.0,2.02,1.904,1.943,2.0780000000000003,2.316,2.379,2.549,3.0423147678375244,1.9791090488433838,-1.4698647260665894,71.41064453125
19232,2019-03-29,1.97,1.97,-256.0,2.02,1.904,1.943,2.0780000000000003,2.316,2.379,2.549,3.502131700515747,1.950166940689087,-1.5266978740692139,128.6356658935547
19233,2019-03-30,-256.0,-256.0,-256.0,2.04,1.911,1.932,2.061,2.309,2.374,2.536,2.7238287925720215,2.0135974884033203,-1.4273953437805176,38.20684814453125
19234,2019-03-30,-256.0,-256.0,-256.0,2.04,1.911,1.932,2.061,2.309,2.374,2.536,2.992631435394287,1.9741790294647217,-1.4528272151947021,65.69248962402344
19235,2019-03-30,-256.0,-256.0,-256.0,2.04,1.911,1.932,2.061,2.309,2.374,2.536,3.5344817638397217,1.949837327003479,-1.5226472616195679,131.13311767578125
19236,2019-03-31,-256.0,-256.0,-256.0,-256.0,1.923,1.934,2.073,2.313,2.376,2.54,2.7078428268432617,1.999259114265442,-1.4212406873703003,37.423675537109375
19237,2019-03-31,-256.0,-256.0,-256.0,-256.0,1.923,1.934,2.073,2.313,2.376,2.54,2.9518320560455322,1.9790546894073486,-1.4335792064666748,61.934669494628906
19238,2019-03-31,-256.0,-256.0,-256.0,-256.0,1.923,1.934,2.073,2.313,2.376,2.54,3.511819362640381,1.9402371644973755,-1.4928075075149536,131.65769958496094
19239,2019-04-01,1.95,1.95,2.05,2.05,1.909,1.945,2.073,2.309,2.374,2.541,2.724471092224121,2.0055105686187744,-1.4346305131912231,37.97627258300781
19240,2019-04-01,1.95,1.95,2.05,2.05,1.909,1.945,2.073,2.309,2.374,2.541,3.0371522903442383,1.9694918394088745,-1.4398735761642456,69.5641098022461
19241,2019-04-01,1.95,1.95,2.05,2.05,1.909,1.945,2.073,2.309,2.374,2.541,3.526998281478882,1.9438714981079102,-1.5130144357681274,132.8284149169922
19242,2019-04-02,1.87,1.96,2.03,2.04,1.892,1.937,2.07,2.29,2.36,2.528,2.743786096572876,1.9967056512832642,-1.4244170188903809,39.90951919555664
19243,2019-04-02,1.87,1.96,2.03,2.04,1.892,1.937,2.07,2.29,2.36,2.528,2.9816160202026367,1.9660907983779907,-1.4222807884216309,65.24510192871094
19244,2019-04-02,1.87,1.96,2.03,2.04,1.892,1.937,2.07,2.29,2.36,2.528,3.555649518966675,1.9311022758483887,-1.4600244760513306,138.17881774902344
19245,2019-04-03,1.87,1.96,2.02,2.02,1.897,1.95,2.092,2.3,2.369,2.546,2.7331929206848145,1.9952023029327393,-1.412310242652893,39.14555358886719
19246,2019-04-03,1.87,1.96,2.02,2.02,1.897,1.95,2.092,2.3,2.369,2.546,2.951716899871826,1.967137336730957,-1.4161957502365112,61.94381332397461
19247,2019-04-03,1.87,1.96,2.02,2.02,1.897,1.95,2.092,2.3,2.369,2.546,3.499528408050537,1.929355502128601,-1.428346037864685,132.0934600830078
19248,2019-04-04,1.85,1.93,1.97,2.0,1.887,1.928,2.0780000000000003,2.286,2.352,2.5340000000000003,2.707857370376587,1.99307119846344,-1.4015908241271973,36.65131378173828
19249,2019-04-04,1.85,1.93,1.97,2.0,1.887,1.928,2.0780000000000003,2.286,2.352,2.5340000000000003,3.007629156112671,1.954226016998291,-1.4089832305908203,68.25251770019531
19250,2019-04-04,1.85,1.93,1.97,2.0,1.887,1.928,2.0780000000000003,2.286,2.352,2.5340000000000003,3.473909616470337,1.930451512336731,-1.4039345979690552,129.218017578125
